term,definition,register,authority_requirement,exposure_cost,cultural_specificity,era_scene,usage_mode,overuse_penalty,replacement_if_blocked,notes
"A fascinating theme in Instagram world-building is the shift between the ""Toxic Player"" and the ""Family Man.""","A rapper might post a photo ""tricking"" on three different women on Friday, but on Sunday, he posts a photo with his daughter (the ""Girl Dad"" theme).",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Girl Dad"" vs. ""Player"" Paradox motif; used when implying status through context, not declaration."
"you don't just ""go to the club."" You ""buy a section."" The section is a cordoned-off VIP area that serves as a temporary kingdom.",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Section"" (The Throne Room) motif; used when implying status through context, not declaration."
The most expensive table,,coded,earned,0.6,scene,modern,implication,0.7,,"The Front Row"": motif; used when implying status through context, not declaration."
"usually right next to the DJ or the dance floor. This signals you are the ""Top Don"" of the night.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Front Row"": motif; used when implying status through context, not declaration."
"Rappers often rap about ""standing on the couches"" with their backs against the wall. This is a Paranoia motif—you never want your back to the room so you can see the ""Ops"" or ""12"" coming.",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Wall"" motif; used when implying status through context, not declaration."
"The physical velvet rope. Rappers discuss who they ""let behind the rope"" and who they leave outside",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Rope"": motif; used when implying status through context, not declaration."
using it as a metaphor for social gatekeeping.,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Rope"": motif; used when implying status through context, not declaration."
"Bottle girls are a central archetype in modern rap. They are often the ""muses"" for rappers and the primary targets for ""tricking.""",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Bottle Girl"" Economy (The Gatekeepers) motif; used when implying status through context, not declaration."
When a rapper buys 20+ bottles of Ace of Spades or Don Julio 1942,,coded,earned,0.6,scene,modern,implication,0.7,,"The Parade"" motif; used when implying status through context, not declaration."
"the girls bring them out with sparklers and signs. This is the ultimate ""Visual Ada"" (Agenda)—it forces everyone in the club to look at who is spending the most.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Parade"" motif; used when implying status through context, not declaration."
Bragging about a $50,,coded,earned,0.6,scene,modern,implication,0.7,,"The Tab"" motif; used when implying status through context, not declaration."
000 or $100,,coded,earned,0.6,scene,modern,implication,0.7,,"The Tab"" motif; used when implying status through context, not declaration."
"000 ""tab"" (receipt) is a core theme. It’s not about the alcohol; it’s about the ability to ""burn"" that much money in four hours.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Tab"" motif; used when implying status through context, not declaration."
"A rapper ""tricking"" on a bottle girl by leaving a massive tip ($5k–$10k) is a way to establish dominance over the club's ""infrastructure.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Tip"" motif; used when implying status through context, not declaration."
"To bring the ""Baddies"" to the section.",The middleman who bridges the gap between the Rapper and the Instagram Models.,coded,earned,0.6,scene,modern,implication,0.7,,"The Promoter motif; used when implying status through context, not declaration."
"To maintain the ""Private Perimeter.""","Usually mentioned as ""The Muscle"" or ""The Enforcers"" who keep the ""Ops"" away.",coded,earned,0.6,scene,modern,implication,0.7,,"The Security motif; used when implying status through context, not declaration."
People trying to get into the section for free drinks/clout.,"Rappers rap about ""fanning off"" the vultures and keeping the circle tight.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Vultures"" motif; used when implying status through context, not declaration."
Entering the club with a 30-person entourage.,"Demonstrates ""Army"" strength and financial backing (paying for everyone's entry).",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Walk-In"" motif; used when implying status through context, not declaration."
This is a specific sub-theme where two rival groups or rappers try to out-spend each other in the same club.,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Bottle War"" Narrative motif; used when implying status through context, not declaration."
A psychological move. A rapper might send a single bottle of cheap champagne to a rival’s table as an insult (implying they look thirsty),,coded,earned,0.6,scene,modern,implication,0.7,,"Sending a Bottle"" motif; used when implying status through context, not declaration."
"or send an expensive one as a ""peace offering"" or a show of superior wealth.",,coded,earned,0.6,scene,modern,implication,0.7,,"Sending a Bottle"" motif; used when implying status through context, not declaration."
"Being the last person in the section when the lights come on. It’s a sign of stamina and having ""limitless"" funds.",,coded,earned,0.6,scene,modern,implication,0.7,,"""Closing the Club"" motif; used when implying status through context, not declaration."
"The club is where ""Content"" for Instagram is manufactured.",,coded,earned,0.6,scene,modern,implication,0.7,,"Nightlife Jargon & Instagram Synergy motif; used when implying status through context, not declaration."
"A high-definition video posted the next day showing the rapper in the club. It usually features ""slow-motion"" shots of jewelry and ""Baddies"" laughing.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Recap"": motif; used when implying status through context, not declaration."
"Rappers often rap about ""shadow boxing"" in the section—literally punching the air while holding a bottle. It represents their readiness for a fight",,coded,earned,0.6,scene,modern,implication,0.7,,"""Shadow Boxing"": motif; used when implying status through context, not declaration."
even while celebrating.,,coded,earned,0.6,scene,modern,implication,0.7,,"""Shadow Boxing"": motif; used when implying status through context, not declaration."
"""No phones"" (to prevent ""leaks"" or ""paranoia"")",,coded,earned,0.6,scene,modern,implication,0.7,,"""Section Rules"" motif; used when implying status through context, not declaration."
"""No sitting"" (energy must stay high)",,coded,earned,0.6,scene,modern,implication,0.7,,"""Section Rules"" motif; used when implying status through context, not declaration."
"and ""Ladies only"" (no random men allowed in the rapper's space).",,coded,earned,0.6,scene,modern,implication,0.7,,"""Section Rules"" motif; used when implying status through context, not declaration."
The world-building doesn't end when the club closes at 4:00 AM.,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""After-Party"" (The Transition) motif; used when implying status through context, not declaration."
"The Mercedes Sprinter van is the ""limo"" of modern rap. It’s where the ""Roster"" of women from the club is moved to the ""Safe House"" or the ""Penthouse.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Sprinter"" motif; used when implying status through context, not declaration."
"A recurring theme of ""rich but still hood."" Even after spending $20k in the club",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Waffle House / Diner"": motif; used when implying status through context, not declaration."
the rapper goes to a 24-hour diner,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Waffle House / Diner"": motif; used when implying status through context, not declaration."
"bringing the ""Baddies"" into a ""civilian"" environment.",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Waffle House / Diner"": motif; used when implying status through context, not declaration."
"is the most vulnerable and revealing part of the rap ""world-building"" narrative. It is the bridge between the public performance of the club and the private reality of the ""fortress."" In this space",,coded,earned,0.6,scene,modern,implication,0.7,,"The 4:00 AM transition i motif; used when implying status through context, not declaration."
"the ""Alpha"" persona either intensifies or cracks under the pressure of Paranoia and Exhaustion.",,coded,earned,0.6,scene,modern,implication,0.7,,"The 4:00 AM transition i motif; used when implying status through context, not declaration."
Checking who is in the van.,"Ensuring only ""vetted"" women and loyal ""soldiers"" are present.",coded,earned,0.6,scene,modern,implication,0.7,,"""The Headcount"" motif; used when implying status through context, not declaration."
Forcing guests to put phones in a bag.,"Anti-Surveillance: Preventing ""leaks,"" ""secret recordings,"" or ""location drops.""",coded,earned,0.6,scene,modern,implication,0.7,,"""Collect the Phones"" motif; used when implying status through context, not declaration."
Looking at a girl's IG one last time.,"Ensuring her ""Market Value"" and ""Vibe"" match the after-party energy.",coded,earned,0.6,scene,modern,implication,0.7,,"""Face ID"" motif; used when implying status through context, not declaration."
"Checking if any ""Opps"" or ""Feds"" are following.",Highlighting the Paranoia that follows the rapper out of the club.,coded,earned,0.6,scene,modern,implication,0.7,,"""The Tail"" motif; used when implying status through context, not declaration."
"The after-party doesn't always happen at the rapper's main home. Depending on the level of ""danger"" or ""secrecy",,coded,earned,0.6,scene,modern,implication,0.7,,"The Destination Archetypes motif; used when implying status through context, not declaration."
""" the destination changes.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Destination Archetypes motif; used when implying status through context, not declaration."
Security / Low Profile,"Bare furniture, high-end security systems, tucked away in a ""regular"" neighborhood.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Safe House"" motif; used when implying status through context, not declaration."
Disposability / No Traces,A rental used specifically for the night to keep the rapper’s real address a secret.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Airbnb"" motif; used when implying status through context, not declaration."
Luxury / Conquest,"Floor-to-ceiling glass, 360-degree city views. Used to ""wow"" the women and prove total dominance.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Penthouse"" motif; used when implying status through context, not declaration."
"Work Ethic / ""The Grind""","Turning the party into a recording session. Shows the rapper ""never sleeps"" and prioritizes the music.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Studio"" motif; used when implying status through context, not declaration."
At 4:00 AM,,coded,earned,0.6,scene,modern,implication,0.7,,"The Female Dynamic: ""The Selection"" vs. ""The Cut"" motif; used when implying status through context, not declaration."
"the ""Gender War"" becomes a game of musical chairs. Not every woman from the club makes it to the final destination.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Female Dynamic: ""The Selection"" vs. ""The Cut"" motif; used when implying status through context, not declaration."
The moment at the curb where the promoter tells certain girls,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Cut"": motif; used when implying status through context, not declaration."
"""There’s no more room in the van."" This creates a hierarchy of ""Tier 1 Baddies.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Cut"": motif; used when implying status through context, not declaration."
A rapper might want one girl,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Plus One"": motif; used when implying status through context, not declaration."
"but she refuses to go without her friend. The rapper must decide if ""sponsoring"" the friend is worth the ""access"" to the target.",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Plus One"": motif; used when implying status through context, not declaration."
As we discussed,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Breakfast Run"" motif; used when implying status through context, not declaration."
moving the 4:00 AM group to a 24-hour spot (Waffle House,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Breakfast Run"" motif; used when implying status through context, not declaration."
"IHOP). This is a ""Humility Flex""—showing that despite the millions",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Breakfast Run"" motif; used when implying status through context, not declaration."
"they are still ""connected to the streets.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Breakfast Run"" motif; used when implying status through context, not declaration."
"The 4:00 AM era is where the ""Vice"" themes often turn darker or more reflective.",,coded,earned,0.6,scene,modern,implication,0.7,,"Substance & Psychological Themes motif; used when implying status through context, not declaration."
"""Codeine Crazy","Moving from ""Partying"" to ""Numbing."" Dealing with the comedown of fame.",coded,earned,0.6,scene,modern,implication,0.7,,"Escapism motif; used when implying status through context, not declaration."
""" ""Xanny Bar","Moving from ""Partying"" to ""Numbing."" Dealing with the comedown of fame.",coded,earned,0.6,scene,modern,implication,0.7,,"Escapism motif; used when implying status through context, not declaration."
""" ""Perky.""","Moving from ""Partying"" to ""Numbing."" Dealing with the comedown of fame.",coded,earned,0.6,scene,modern,implication,0.7,,"Escapism motif; used when implying status through context, not declaration."
"""Don't tell",The danger of a rapper saying too much to a woman he just met while under the influence.,coded,earned,0.6,scene,modern,implication,0.7,,"Pillow Talk motif; used when implying status through context, not declaration."
""" ""Loose lips",The danger of a rapper saying too much to a woman he just met while under the influence.,coded,earned,0.6,scene,modern,implication,0.7,,"Pillow Talk motif; used when implying status through context, not declaration."
""" ""Confessions.""",The danger of a rapper saying too much to a woman he just met while under the influence.,coded,earned,0.6,scene,modern,implication,0.7,,"Pillow Talk motif; used when implying status through context, not declaration."
"""Vampires","The anxiety of the ""party"" ending and reality (legal issues, bills, stress) setting in.",coded,earned,0.6,scene,modern,implication,0.7,,"Sunlight Fear motif; used when implying status through context, not declaration."
""" ""The Sun coming up","The anxiety of the ""party"" ending and reality (legal issues, bills, stress) setting in.",coded,earned,0.6,scene,modern,implication,0.7,,"Sunlight Fear motif; used when implying status through context, not declaration."
""" ""Closing the blinds.""","The anxiety of the ""party"" ending and reality (legal issues, bills, stress) setting in.",coded,earned,0.6,scene,modern,implication,0.7,,"Sunlight Fear motif; used when implying status through context, not declaration."
"""Delete the footage","The cold, transactional end of the night where everyone is sent home.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Cleanup"" motif; used when implying status through context, not declaration."
""" ""Send the Ubers.""","The cold, transactional end of the night where everyone is sent home.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Cleanup"" motif; used when implying status through context, not declaration."
"This is where the ""Tricking"" we discussed earlier becomes literal.",,coded,earned,0.6,scene,modern,implication,0.7,,"""Tricking"" at 4:00 AM: The Final Transaction motif; used when implying status through context, not declaration."
"A rapper sending a ""thank you"" or ""get home safe"" payment to a woman. It’s a way to maintain his reputation as a ""Provider"" or ""Sponsor.""",,coded,earned,0.6,scene,modern,implication,0.7,,"The CashApp at Sunrise"" motif; used when implying status through context, not declaration."
"Sending the woman home in a luxury vehicle rather than a standard one. It’s the final ""Status"" mark of the night.",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Uber Black"" motif; used when implying status through context, not declaration."
"In high-level ""Mogul"" world-building",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Gift"" motif; used when implying status through context, not declaration."
"a woman might leave the after-party with a piece of jewelry or a designer bag as a ""parting gift.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Gift"" motif; used when implying status through context, not declaration."
"There is a recurring ""conscious"" theme about the ""4:00 AM Regret."" This is the moment where the rapper looks at the mess",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Morning After"" Agenda (The Ada) motif; used when implying status through context, not declaration."
the strangers in his house,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Morning After"" Agenda (The Ada) motif; used when implying status through context, not declaration."
and the money spent,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Morning After"" Agenda (The Ada) motif; used when implying status through context, not declaration."
"wondering if it was all ""for the 'Gram"" or if it was real.",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Morning After"" Agenda (The Ada) motif; used when implying status through context, not declaration."
"Realizing the ""clout"" is temporary",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Empty Feeling"": motif; used when implying status through context, not declaration."
Waking up at 2:00 PM to start the whole cycle over again for the next club night.,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Reset"": motif; used when implying status through context, not declaration."
"The first few hours of the afternoon are dedicated to erasing the ""traces"" of the 4:00 AM life to protect the ""Brand"" and ""Legal Standing.""",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Clean Up"" & Damage Control motif; used when implying status through context, not declaration."
"""Signing the papers","Ensuring no one leaks ""behind-the-scenes"" footage to blogs like The Shade Room.",coded,earned,0.6,scene,modern,implication,0.7,,"NDAs & Privacy motif; used when implying status through context, not declaration."
""" ""NDA on the counter.""","Ensuring no one leaks ""behind-the-scenes"" footage to blogs like The Shade Room.",coded,earned,0.6,scene,modern,implication,0.7,,"NDAs & Privacy motif; used when implying status through context, not declaration."
"""Check the tags","Removing evidence of being in specific places or with specific people (avoiding ""Opps"" or ""The Feds"").",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Scrubbing motif; used when implying status through context, not declaration."
""" ""Delete that story.""","Removing evidence of being in specific places or with specific people (avoiding ""Opps"" or ""The Feds"").",coded,earned,0.6,scene,modern,implication,0.7,,"Digital Scrubbing motif; used when implying status through context, not declaration."
"""The Maid Service","Erasing the evidence of the party from the ""Safe House"" or the ""Sprinter.""",coded,earned,0.6,scene,modern,implication,0.7,,"Physical Maintenance motif; used when implying status through context, not declaration."
""" ""The Detailer.""","Erasing the evidence of the party from the ""Safe House"" or the ""Sprinter.""",coded,earned,0.6,scene,modern,implication,0.7,,"Physical Maintenance motif; used when implying status through context, not declaration."
"""Going Ghost","Cutting off all communication to recover and avoid ""Clout Chasers"" asking for money.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Ghost"" motif; used when implying status through context, not declaration."
""" ""Airplane Mode.""","Cutting off all communication to recover and avoid ""Clout Chasers"" asking for money.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Ghost"" motif; used when implying status through context, not declaration."
"Calls to the jeweler to fix a ""bust down"" watch or order a new ""piece."" The jeweler is often a therapist-figure who knows the rapper’s financial secrets.",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Jeweler"" (The Appraisal) motif; used when implying status through context, not declaration."
Not just for criminal cases,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Fixer"" (The Lawyer): motif; used when implying status through context, not declaration."
"but for ""Civil"" issues—handling ""accidents",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Fixer"" (The Lawyer): motif; used when implying status through context, not declaration."
""" noise complaints from the Airbnb",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Fixer"" (The Lawyer): motif; used when implying status through context, not declaration."
"or ""hush money"" (legal settlements).",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Fixer"" (The Lawyer): motif; used when implying status through context, not declaration."
"The person who gives the rapper a ""reality check."" Lyrics often feature the rapper arguing with their accountant about ""overspending"" versus ""investing.""",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Money Manager"" / ""Accountant"": motif; used when implying status through context, not declaration."
"Looking at the ""stats"" from the night. Did the ""recap"" video go viral? Is the song ""charting""?",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""A&R"" / ""Manager"": motif; used when implying status through context, not declaration."
"A growing theme in modern ""High Value"" rap is the obsession with staying ""fit for the fight."" This is the Wellness Agenda.",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Recovery"" Theme (Health & Wellness) motif; used when implying status through context, not declaration."
"Rappers getting vitamin IV drips to recover from the alcohol and ""Wockhardt"" (Lean) consumption.",,coded,earned,0.6,scene,modern,implication,0.7,,"""IV Drips"" motif; used when implying status through context, not declaration."
"Moving from 4:00 AM Waffle House to a private chef preparing ""Sea Moss",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Chef"": motif; used when implying status through context, not declaration."
""" ""Pressed Juices",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Chef"": motif; used when implying status through context, not declaration."
""" and ""Alkaline Water.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Chef"": motif; used when implying status through context, not declaration."
"Boxing or weightlifting in the afternoon. This signals ""Discipline"" and the ability to out-work the competition.",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Trainer"": motif; used when implying status through context, not declaration."
Wealth / Power,"The sound of a ""ping"" on the phone signaling a new deal or a ""cleared"" payment.",coded,earned,0.6,scene,modern,implication,0.7,,"""Wire Transfer"" motif; used when implying status through context, not declaration."
Legacy,"Owning a percentage of the liquor brand, the weed brand, or the clothing line.",coded,earned,0.6,scene,modern,implication,0.7,,"""Equity"" motif; used when implying status through context, not declaration."
Debt / Trap,"Taking money from the label; often framed as ""selling your future"" if you aren't smart.",coded,earned,0.6,scene,modern,implication,0.7,,"""The Advance"" motif; used when implying status through context, not declaration."
Maturity,"Checking the streaming numbers and ""royalties.""",coded,earned,0.6,scene,modern,implication,0.7,,"""Quarterly Reports"" motif; used when implying status through context, not declaration."
Strategy,"Framing the cars, the jewelry, and the ""After-Party"" as ""business expenses"" for the ""Brand.""",coded,earned,0.6,scene,modern,implication,0.7,,"""Tax Write-off"" motif; used when implying status through context, not declaration."
A major world-building theme is the Identity Crisis that happens during the day.,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Business vs. Street"" Conflict motif; used when implying status through context, not declaration."
"The rapper has to switch from talking ""Street"" to his ""Day Ones"" to talking ""Corporate"" to a CEO or a Lawyer.",,coded,earned,0.6,scene,modern,implication,0.7,,"The Phone Call: motif; used when implying status through context, not declaration."
"Paranoia shifts from ""The Feds"" (criminal) to ""The IRS"" (financial). Lyrics about ""offshore accounts"" or ""stashing cash in the walls"" to avoid being ""audited.""",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Taxman"": motif; used when implying status through context, not declaration."
In the afternoon,,coded,earned,0.6,scene,modern,implication,0.7,,"6. The ""Sponsorship"" Re-Up (Instagram Maintenance) motif; used when implying status through context, not declaration."
"the rapper coordinates with the women from the night before to ensure the ""Brand Narrative"" is consistent.",,coded,earned,0.6,scene,modern,implication,0.7,,"6. The ""Sponsorship"" Re-Up (Instagram Maintenance) motif; used when implying status through context, not declaration."
"Telling the woman to tag the rapper in her ""thank you"" post to keep the ""Mogul"" image alive.",,coded,earned,0.6,scene,modern,implication,0.7,,"""Tag Me"": motif; used when implying status through context, not declaration."
"The ""Tricking"" continues in the form of ""Sponsorship""—paying for the woman's ""Maintenance"" (Hair",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Direct Deposit"": motif; used when implying status through context, not declaration."
Nails,,coded,earned,0.6,scene,modern,implication,0.7,,"""The Direct Deposit"": motif; used when implying status through context, not declaration."
"Gym) to keep her looking like a ""Trophy"" for the next event.",,coded,earned,0.6,scene,modern,implication,0.7,,"""The Direct Deposit"": motif; used when implying status through context, not declaration."
